功能分類,所屬圖,顯示規則,資料來源,資料,資料ID
側邊欄,報酬率圖,"面積折線圖：上漲紅，下跌綠
等比不顯示金額legend",單商品統計,單商品累積報酬率,NetProfit / NetProfit_Amount
側邊欄,報酬率圖,折線圖,每日報表,策略累積報酬率,NetProfit
側邊欄,報酬率圖,折線圖,每日報表,[基準指標]報酬率,TotalRate_Index
側邊欄,K線圖,K線圖,XQ,開高低收,
側邊欄,K線圖,柱狀副圖：上漲紅，下跌綠,XQ,成交量,
側邊欄,K線圖,序號標籤：進場紅，出場綠,交易紀錄,序號&時間&價格,
商品績效,報酬率圖,面積折線圖：上漲紅，下跌綠,單商品統計,單商品累積報酬率,NetProfit
商品績效,報酬率圖,"折線圖
可開關
等比不支援",單商品統計,單商品累積淨利,NetProfit_Amount
商品績效,報酬率圖,"折線圖
可開關",每日報表,策略累積報酬率,NetProfit
商品績效,報酬率圖,"折線圖
可開關",每日報表,[基準指標]報酬率,TotalRate_Index
商品績效,副圖,"面積折線圖：上漲紅，下跌綠
等比顯示%",單商品統計,"最大區間虧損$
等比：最大區間虧損%","MaxDrawdown_Amount
等比：MaxDrawdown"
交易分析,K線圖,K線圖,XQ,開高低收,
交易分析,K線圖,柱狀副圖：上漲紅，下跌綠,XQ,成交量,
交易分析,K線圖,序號標籤：進場紅，出場綠,交易紀錄,序號&時間&價格,
交易分析,K線圖,"平滑曲線圖
可開關",XQ,5日均線,
交易分析,K線圖,"平滑曲線圖
可開關",XQ,20日均線,
交易分析,K線圖,"平滑曲線圖
可開關",XQ,60日均線,
交易分析,副圖,面積折線圖：上漲紅，下跌綠,單商品統計,單商品累積報酬率,NetProfit