頻率,圖形名稱,顯示規則,資料來源,資料,資料ID
日頻率,星期一 ～ 星期五,"柱狀圖：上漲紅，下跌綠
可切換平均 / 總計",週期分析-日,日報酬率% / 日淨利$,NetIncome / NetIncome_Amount
日頻率,星期一 ～ 星期五,"折線圖
可開關
可切換平均 / 總計",週期分析-日,日勝率%,WinRate
日頻率,1日- 31日,"柱狀圖：上漲紅，下跌綠
可切換平均 / 總計",週期分析-日,日報酬率% / 日淨利$,NetIncome / NetIncome_Amount
日頻率,1日- 31日,"折線圖
可開關
可切換平均 / 總計",週期分析-日,日勝率%,WinRate
日頻率,每一日,柱狀圖：上漲紅，下跌綠,週期分析-日,日報酬率% / 日淨利$,NetIncome / NetIncome_Amount
月頻率,1月- 12月,"柱狀圖：上漲紅，下跌綠
可切換平均 / 總計",週期分析-月,月報酬率% / 月淨利$,NetIncome / NetIncome_Amount
月頻率,1月- 12月,"折線圖
可開關
可切換平均 / 總計",週期分析-月,月勝率%,WinRate
月頻率,每一月,柱狀圖：上漲紅，下跌綠,週期分析-月,月報酬率% / 月淨利$,NetIncome / NetIncome_Amount
月頻率,月熱力圖,熱力圖：上漲紅，下跌綠,週期分析-月,月報酬率%,NetIncome
季頻率,第一季～第四季,"柱狀圖：上漲紅，下跌綠
可切換平均 / 總計",週期分析-季,季報酬率% / 季淨利$,NetIncome / NetIncome_Amount
季頻率,第一季～第四季,"折線圖
可開關
可切換平均 / 總計",週期分析-季,季勝率%,WinRate
季頻率,每一季,柱狀圖：上漲紅，下跌綠,週期分析-季,季報酬率% / 季淨利$,NetIncome / NetIncome_Amount
季頻率,季熱力圖,熱力圖：上漲紅，下跌綠,週期分析-季,季報酬率%,NetIncome
年頻率,每一年,柱狀圖：上漲紅，下跌綠,週期分析-年,年報酬率% / 年淨利$,NetIncome / NetIncome_Amount
年頻率,年熱力圖,熱力圖：上漲紅，下跌綠,週期分析-年,年報酬率%,NetIncome