分類,欄位ID,欄位名稱,簡稱,單位,副欄位ID,副單位,顯示規則,Tooltip
報酬,TimeWeightedRateOfReturn,時間加權報酬率,報酬率,%,NetProfit_Amount,$,"依所選報酬率算法顯示對應的Tooltip文字
等比$顯示空白
報酬率：正紅字、負綠字
依報酬率算法顯示",時間加權：$是損益加總；%是去除資金因素後的調整報酬率，可以較好評估進出場的有效性
報酬,MaxInvestRateOfReturn,最大投入報酬率,報酬率,%,NetProfit_Amount,$,"依所選報酬率算法顯示對應的Tooltip文字
等比$顯示空白
報酬率：正紅字、負綠字
依報酬率算法顯示",最大投入：$是損益加總；%是以回測區間內，實際動用到的本金投入市場金額來計算的報酬率
報酬,SimpleAnuualPercentageYield,平均年化報酬,,%,,,報酬率：正紅字、負綠字,以簡單算術平均計算每年的報酬，不考慮波動對長期增長的影響
報酬,GeometricAnuualPercentageYield,複利年化報酬,,%,,,報酬率：正紅字、負綠字,以幾何平均計算每年的報酬，考慮複利與波動，反映資金的實際長期增長
報酬,SharpeRatio,夏普比率,,,,,,衡量每單位風險所獲得的超額報酬
交易,PercentProfitable,勝率,,%,NumberWinningTrades,次,,獲利交易次數/總交易次數
交易,AvgOfIndividualReturns,平均單筆報酬,,%,,,報酬率：正紅字、負綠字,每次交易的平均報酬率
交易,TotalTradeCount,總交易次數,,次,,,,回測內所產生的所有交易次數加總
交易,AnnualTradeCount,年均交易數,,次,,,,每年平均會發生交易的次數
虧損,MaxDrawdown,最大區間虧損,,%,MaxDrawdown_Amount,$,"等比$顯示空白
報酬率：正紅字、負綠字",列出報酬率曲線中，每一段自高點回落區間的累積報酬率變化，取最小值
虧損,RiskReturnRatio,風報比,,,,,,報酬率/ABS(最大區間虧損)
虧損,MaxDrawdownDuration,MDD區間天數,,天,,,,策略在遭遇最大區間虧損時下跌的天數
虧損,MaximumDaysWithoutNewHighs,最大未創新高天數,,天,,,,所有報酬率未創新高的區間天數的最大值