返回商品統計表,,,,,,,,,,,
,,,,,,,,,,,
單商品回測統計,,,,,,,,,,,
,,,,,,,,,,,
商品名稱,Agilent(A.US),,,,,,,,,,
項目,全部,,做多,,做空,,,,,,
淨利,26,0.03%,26,0.03%,0,0.00%,,,,,
毛利,96,0.10%,96,0.10%,0,0.00%,,,,,
獲利因子,1.37,,1.37,,n/a,,,,,,
毛損,-70,-0.07%,-70,-0.07%,0,0.00%,,,,,
總交易成本,0,0.00%,0,0.00%,0,0.00%,,,,,
最大投入金額,144.04,,144.04,,0,,,,,,
總交易次數,27,,27,,0,,,,,,
獲利交易次數,11,,11,,0,,,,,,
勝率,40.74%,,40.74%,,0.00%,,,,,,
虧損交易次數,16,,16,,0,,,,,,
平均交易,1,0.00%,1,0.00%,0,0.00%,,,,,
平均獲利交易,9,0.01%,9,0.01%,0,0.00%,,,,,
平均獲利虧損比,2.00,,2.00,,0.00,,,,,,
平均虧損交易,-4,-0.00%,-4,-0.00%,0,0.00%,,,,,
最大獲利交易,21,0.02%,21,0.02%,0,0.00%,,,,,
最大虧損交易,-15,-0.01%,-15,-0.01%,0,0.00%,,,,,
最大區間獲利,60,0.06%,60,0.06%,60,0.06%,,,,,
最大區間虧損,-26,-0.03%,-26,-0.03%,-26,-0.03%,,,,,
全部交易的平均持倉K線根數,14.93,,14.93,,0.00,,,,,,
獲利交易的平均持倉K線根數,23.45,,23.45,,0.00,,,,,,
回測K線根數,752,,752,,752,,,,,,
虧損交易的平均持倉K線根數,9.06,,9.06,,0.00,,,,,,
時間加權報酬,"21,608",21.61%,"21,608",21.61%,0,0.00%,,,,,
最大投入報酬率,26,18.21%,26,18.21%,0,0.00%,,,,,
買進持有報酬,"-13,206",-13.21%,"-13,206",-13.21%,"-13,206",-13.21%,,,,,
大盤指數報酬,"165,565",165.57%,"165,565",165.57%,"165,565",165.57%,,,,,
,,,,,,,,,,,
明細表,,,,,,,,,,,
交易序號,交易日期,買賣別,交易價格,交易數量,獲利金額,報酬率,累計獲利金額,累計報酬率,持有區間,連續次數,訊息
1,2023/05/22 21:36,買進 ,129.14,1,-14.64,-11.34%,-14.64,-0.01%,3,賠1,進場訊息 : 
,2023/05/24 21:30,賣出 ,114.5,,,,,,,,出場訊息 : 
2,2023/06/13 00:22,買進 ,117.62,1,4.48,3.81%,-10.16,-0.01%,36,賺1,進場訊息 : 
,2023/08/02 21:30,賣出 ,122.1,,,,,,,,出場訊息 : 
3,2023/09/01 21:31,買進 ,122.65,1,-2.52,-2.05%,-12.68,-0.01%,2,賠1,進場訊息 : 
,2023/09/05 21:36,賣出 ,120.13,,,,,,,,出場訊息 : 
4,2023/09/29 21:30,買進 ,112.905,1,-5.64,-4.99%,-18.32,-0.02%,18,賠2,進場訊息 : 
,2023/10/24 21:30,賣出 ,107.27,,,,,,,,出場訊息 : 
5,2023/11/03 21:31,買進 ,106.95,1,21.15,19.78%,2.84,0.00%,27,賺1,進場訊息 : 
,2023/12/12 22:30,賣出 ,128.11,,,,,,,,出場訊息 : 
6,2024/01/31 22:30,買進 ,134.61,1,-4.19,-3.11%,-1.34,0.00%,9,賠1,進場訊息 : 
,2024/02/12 22:45,賣出 ,130.43,,,,,,,,出場訊息 : 
7,2024/02/16 22:30,買進 ,134.45,1,-3.71,-2.76%,-5.05,-0.01%,4,賠2,進場訊息 : 
,2024/02/22 22:33,賣出 ,130.74,,,,,,,,出場訊息 : 
8,2024/02/28 22:30,買進 ,139.88,1,6.77,4.84%,1.73,0.00%,16,賺1,進場訊息 : 
,2024/03/20 21:31,賣出 ,146.655,,,,,,,,出場訊息 : 
9,2024/04/30 21:30,買進 ,138.6,1,9.24,6.67%,10.98,0.01%,20,賺2,進場訊息 : 
,2024/05/29 03:44,賣出 ,147.85,,,,,,,,出場訊息 : 
10,2024/06/21 21:30,買進 ,132.49,1,-5.06,-3.82%,5.92,0.01%,8,賠1,進場訊息 : 
,2024/07/02 21:30,賣出 ,127.43,,,,,,,,出場訊息 : 
11,2024/07/11 21:30,買進 ,128.33,1,5.81,4.54%,11.74,0.01%,21,賺1,進場訊息 : 
,2024/08/08 21:30,賣出 ,134.15,,,,,,,,出場訊息 : 
12,2024/08/16 21:30,買進 ,140.04,1,-1.14,-0.81%,10.6,0.01%,12,賠1,進場訊息 : 
,2024/09/04 02:55,賣出 ,138.905,,,,,,,,出場訊息 : 
13,2024/09/19 21:30,買進 ,141.61,1,3.26,2.30%,13.86,0.01%,15,賺1,進場訊息 : 
,2024/10/09 21:32,賣出 ,144.87,,,,,,,,出場訊息 : 
14,2024/11/04 22:30,買進 ,138.31,1,-5.8,-4.19%,8.07,0.01%,9,賠1,進場訊息 : 
,2024/11/14 23:00,賣出 ,132.52,,,,,,,,出場訊息 : 
15,2024/11/25 22:30,買進 ,134.53,1,2.28,1.70%,10.36,0.01%,16,賺1,進場訊息 : 
,2024/12/17 22:30,賣出 ,136.82,,,,,,,,出場訊息 : 
16,2025/01/07 22:35,買進 ,137.8,1,10.57,7.67%,20.94,0.02%,19,賺2,進場訊息 : 
,2025/02/04 22:30,賣出 ,148.375,,,,,,,,出場訊息 : 
17,2025/03/19 21:30,買進 ,122.5,1,-9.13,-7.44%,11.82,0.01%,10,賠1,進場訊息 : 
,2025/04/02 03:52,賣出 ,113.38,,,,,,,,出場訊息 : 
18,2025/04/17 21:30,買進 ,102.63,1,13.54,13.19%,25.36,0.03%,44,賺1,進場訊息 : 
,2025/06/20 21:30,賣出 ,116.17,,,,,,,,出場訊息 : 
19,2025/06/26 22:32,買進 ,119.9,1,-2,-1.67%,23.36,0.02%,3,賠1,進場訊息 : 
,2025/06/30 21:32,賣出 ,117.9,,,,,,,,出場訊息 : 
20,2025/07/01 22:56,買進 ,120.25,1,-0.9,-0.74%,22.47,0.02%,5,賠2,進場訊息 : 
,2025/07/08 21:30,賣出 ,119.36,,,,,,,,出場訊息 : 
21,2025/07/28 21:30,買進 ,119.36,1,-2.79,-2.34%,19.68,0.02%,4,賠3,進場訊息 : 
,2025/07/31 21:30,賣出 ,116.57,,,,,,,,出場訊息 : 
22,2025/08/13 21:30,買進 ,118.06,1,6.14,5.21%,25.83,0.03%,23,賺1,進場訊息 : 
,2025/09/15 21:31,賣出 ,124.21,,,,,,,,出場訊息 : 
23,2025/09/17 21:30,買進 ,128.24,1,-1.12,-0.87%,24.71,0.02%,2,賠1,進場訊息 : 
,2025/09/18 21:56,賣出 ,127.12,,,,,,,,出場訊息 : 
24,2025/10/01 21:37,買進 ,132.74,1,13.01,9.81%,37.73,0.04%,21,賺1,進場訊息 : 
,2025/10/29 21:30,賣出 ,145.76,,,,,,,,出場訊息 : 
25,2025/11/25 22:32,買進 ,153.77,1,-4.09,-2.65%,33.65,0.03%,5,賠1,進場訊息 : 
,2025/12/02 23:32,賣出 ,149.69,,,,,,,,出場訊息 : 
26,2026/01/05 22:32,買進 ,140,1,-2.85,-2.03%,30.81,0.03%,11,賠2,進場訊息 : 
,2026/01/20 22:30,賣出 ,137.16,,,,,,,,出場訊息 : 
27,2026/02/25 22:30,買進 ,125.05,1,-4.58,-3.66%,26.23,0.03%,40,賠3,進場訊息 : 
,--,--,--,,,,,,,,出場訊息 : 