週期分析(季),,
,,
項目,$,%
淨利/最大投入報酬率,"13,476",15.58%
勝率,61.54%,61.54%
最大區間獲利,"9,047",10.54%
最大區間虧損,"-3,661",-3.75%
獲利因子,2.57,2.57
總交易季數,13,13
獲利交易季數,8,8
虧損交易季數,5,5
毛利,"22,058",25.51%
毛損,"-8,581",-9.92%
最大單季獲利,"6,671",7.77%
最大單季虧損,"-2,928",-3.3%
平均單季金額變動,"1,037",1.12%
平均單季獲利金額變動,"2,757",3.02%
平均單季虧損金額變動,"-1,716",-1.84%
平均單季獲利虧損比,1.61,1.61
第一季 ~ 第四季(總計)(%),,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
第一季 ~ 第四季(總計)($),,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
第一季 ~ 第四季(平均)(%),,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
第一季 ~ 第四季(平均)($),,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
每一季(%),,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
每一季($),,