週期分析(月),,
,,
項目,$,%
淨利/最大投入報酬率,"13,476",15.58%
勝率,56.76%,56.76%
最大區間獲利,"8,570",10.21%
最大區間虧損,"-5,614",-5.77%
獲利因子,1.56,1.56
總交易月數,37,37
獲利交易月數,21,21
虧損交易月數,16,16
毛利,"37,366",43.21%
毛損,"-23,889",-27.62%
最大單月獲利,"5,775",6.32%
最大單月虧損,"-3,312",-3.4%
平均單月金額變動,364,0.39%
平均單月獲利金額變動,"1,779",1.94%
平均單月虧損金額變動,"-1,493",-1.6%
平均單月獲利虧損比,1.19,1.19
1月 - 12月(總計)(%),,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
1月 - 12月(總計)($),,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
1月 - 12月(平均)(%),,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
1月 - 12月(平均)($),,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
每一月(%),,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
每一月($),,